Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
56,No,Non-Travel,381,Research & Development,7,4,Life Sciences,1,1,3,Male,72,3,5,Manufacturing Director,4,Divorced,9210,25462,4,Y,No,19,3,3,80,0,16,6,4,8,3,7,2
46,No,Non-Travel,1294,Sales,13,1,Other,1,2,2,Female,56,4,1,Healthcare Representative,1,Divorced,1364,19672,4,Y,Yes,16,3,2,80,3,23,0,3,9,2,4,11
32,No,Travel_Rarely,737,Research & Development,5,3,Life Sciences,1,3,4,Male,62,1,4,Research Scientist,4,Divorced,16366,10937,6,Y,Yes,22,3,4,80,3,20,5,1,14,3,12,13
25,No,Non-Travel,910,Research & Development,17,2,Technical Degree,1,4,2,Female,85,1,1,Healthcare Representative,1,Married,7571,16623,3,Y,No,17,3,1,80,3,39,4,4,4,15,5,16
38,Yes,Travel_Frequently,1478,Sales,21,2,Other,1,5,1,Male,31,4,4,Research Scientist,4,Divorced,17963,14707,3,Y,Yes,23,4,4,80,3,28,6,1,15,12,3,15
56,No,Travel_Frequently,1327,Research & Development,12,4,Other,1,6,2,Female,43,3,2,Manufacturing Director,3,Married,15017,24031,6,Y,No,17,3,1,80,2,13,1,3,12,10,4,16
36,No,Travel_Rarely,1412,Sales,28,5,Other,1,7,3,Female,42,2,2,Healthcare Representative,1,Married,7468,7928,8,Y,No,18,3,4,80,0,7,5,2,19,10,11,8
40,No,Travel_Rarely,967,Sales,19,1,Technical Degree,1,8,3,Male,53,4,3,Manager,1,Married,5150,23186,3,Y,No,14,3,2,80,0,29,1,2,17,4,0,2
28,No,Travel_Rarely,561,Research & Development,7,3,Other,1,9,2,Male,98,1,4,Manager,3,Married,14065,19081,3,Y,No,13,3,2,80,0,21,4,2,10,0,14,13
28,No,Travel_Rarely,849,Research & Development,6,5,Other,1,10,3,Female,63,2,1,Human Resources,3,Single,5137,13226,5,Y,No,13,3,4,80,0,22,3,4,8,13,11,2
41,No,Travel_Rarely,1296,Research & Development,8,5,Medical,1,11,3,Male,48,4,1,Manufacturing Director,1,Single,13236,18858,5,Y,Yes,20,4,2,80,3,39,6,2,15,4,2,5
53,No,Travel_Rarely,400,Research & Development,13,3,Human Resources,1,12,1,Male,59,2,1,Healthcare Representative,3,Divorced,17836,14168,6,Y,No,18,3,4,80,3,12,4,4,1,5,13,12
57,No,Travel_Rarely,699,Sales,5,3,Medical,1,13,4,Male,78,4,3,Manager,2,Married,13153,26080,0,Y,No,22,3,1,80,2,27,4,3,1,11,3,4
41,No,Travel_Rarely,628,Research & Development,2,3,Life Sciences,1,14,3,Male,72,1,5,Manufacturing Director,4,Divorced,14833,16189,2,Y,No,23,3,2,80,2,29,5,3,11,13,0,0
20,No,Travel_Rarely,239,Research & Development,9,3,Life Sciences,1,15,4,Male,45,4,1,Manager,4,Divorced,2381,8532,8,Y,Yes,13,3,1,80,3,4,6,4,7,16,12,11
39,No,Travel_Rarely,377,Research & Development,11,2,Marketing,1,16,2,Female,81,2,2,Research Scientist,4,Divorced,9154,10702,5,Y,Yes,18,3,4,80,1,9,2,1,8,6,2,14
19,No,Non-Travel,762,Human Resources,24,5,Human Resources,1,17,2,Male,78,3,1,Sales Representative,2,Divorced,2467,12452,5,Y,No,12,3,1,80,0,38,1,2,11,0,3,1
41,No,Travel_Frequently,610,Research & Development,6,5,Technical Degree,1,18,3,Male,40,1,1,Laboratory Technician,3,Married,14439,21328,4,Y,Yes,15,3,3,80,2,8,6,2,8,16,13,2
47,No,Travel_Rarely,1469,Research & Development,29,2,Medical,1,19,2,Male,76,1,1,Manufacturing Director,3,Married,18264,24016,2,Y,No,15,3,4,80,3,13,5,2,9,5,13,6
55,Yes,Travel_Rarely,1263,Research & Development,26,5,Life Sciences,1,20,1,Male,64,2,5,Human Resources,1,Single,13006,7384,4,Y,Yes,17,3,2,80,0,37,1,4,1,3,8,10
19,No,Travel_Rarely,213,Research & Development,7,3,Technical Degree,1,21,3,Female,58,4,1,Healthcare Representative,3,Married,4149,19750,0,Y,No,15,3,2,80,0,9,3,3,15,13,2,9
38,Yes,Travel_Rarely,679,Research & Development,25,1,Other,1,22,3,Male,83,4,5,Human Resources,1,Married,8892,19445,2,Y,Yes,19,3,3,80,3,32,6,2,19,7,10,7
50,No,Travel_Frequently,1489,Sales,7,5,Technical Degree,1,23,3,Female,52,4,5,Manager,2,Divorced,17136,4307,3,Y,No,13,4,4,80,1,10,3,3,6,17,2,1
29,No,Travel_Rarely,790,Research & Development,19,1,Medical,1,24,2,Female,53,1,3,Research Director,4,Married,2168,18691,4,Y,No,19,3,4,80,1,39,2,2,1,12,3,13
39,Yes,Travel_Rarely,736,Sales,6,1,Human Resources,1,25,2,Male,39,1,2,Healthcare Representative,4,Divorced,13356,11188,8,Y,Yes,11,3,4,80,2,5,2,2,0,7,8,12
42,No,Travel_Frequently,922,Human Resources,11,2,Marketing,1,26,3,Male,90,2,1,Healthcare Representative,4,Married,4129,11321,3,Y,No,13,3,4,80,3,16,2,4,18,15,8,6
44,No,Travel_Rarely,974,Research & Development,29,4,Medical,1,27,4,Female,37,4,1,Laboratory Technician,3,Single,16032,2303,2,Y,No,14,3,1,80,2,35,3,1,3,4,0,8
59,No,Travel_Rarely,1039,Research & Development,11,5,Human Resources,1,28,2,Female,77,4,1,Sales Representative,1,Divorced,3526,8486,0,Y,No,16,3,4,80,1,5,4,4,1,2,14,6
45,No,Travel_Rarely,1041,Research & Development,7,2,Life Sciences,1,29,2,Female,58,2,5,Research Scientist,1,Married,12059,7566,5,Y,No,20,3,1,80,2,9,5,2,13,12,7,0
33,No,Travel_Rarely,1234,Research & Development,2,2,Life Sciences,1,30,3,Male,55,1,4,Laboratory Technician,2,Married,4516,23541,6,Y,No,18,3,1,80,2,4,1,2,1,14,9,0
32,No,Travel_Rarely,457,Human Resources,19,1,Technical Degree,1,31,4,Female,66,1,2,Research Scientist,3,Divorced,11386,5891,7,Y,No,17,3,2,80,1,18,1,1,14,3,12,5
20,No,Travel_Rarely,1361,Research & Development,4,5,Medical,1,32,3,Male,81,3,1,Research Director,2,Single,4555,11046,0,Y,No,18,3,4,80,0,6,5,3,11,2,0,0
54,No,Travel_Rarely,102,Sales,26,2,Life Sciences,1,33,2,Female,67,3,4,Manufacturing Director,1,Single,17012,7724,3,Y,No,16,4,1,80,0,23,0,3,4,1,1,15
24,No,Travel_Frequently,503,Research & Development,6,3,Other,1,34,3,Female,35,4,4,Research Director,1,Married,15157,17579,4,Y,Yes,16,4,4,80,1,18,3,2,19,3,9,2
38,No,Travel_Rarely,124,Research & Development,17,2,Other,1,35,3,Male,37,1,4,Research Director,4,Married,6111,24664,1,Y,No,24,3,3,80,0,10,3,3,6,5,10,12
26,No,Travel_Frequently,608,Research & Development,25,3,Marketing,1,36,3,Male,46,4,2,Research Director,3,Married,7752,7350,0,Y,No,16,4,1,80,3,2,2,2,9,3,4,3
56,No,Travel_Rarely,795,Research & Development,5,4,Technical Degree,1,37,4,Female,91,1,4,Research Director,1,Divorced,17829,11009,7,Y,No,13,4,2,80,0,29,6,1,13,16,10,16
35,No,Travel_Rarely,160,Research & Development,29,3,Life Sciences,1,38,3,Male,63,3,1,Research Director,4,Divorced,7364,16025,5,Y,No,24,3,4,80,1,37,6,1,13,6,12,9
21,No,Travel_Rarely,222,Research & Development,28,3,Marketing,1,39,2,Male,48,2,1,Human Resources,3,Divorced,4626,11164,4,Y,Yes,20,3,2,80,3,5,5,2,4,17,14,3
42,No,Travel_Rarely,154,Sales,7,1,Other,1,40,3,Female,99,1,3,Research Scientist,2,Married,4875,6133,8,Y,No,14,3,1,80,2,34,0,1,17,9,10,11
31,No,Travel_Rarely,1286,Research & Development,9,2,Marketing,1,41,4,Male,66,3,5,Human Resources,3,Single,6497,11370,1,Y,No,21,4,1,80,1,21,0,4,13,16,13,12
26,No,Travel_Rarely,1073,Sales,25,4,Marketing,1,42,1,Male,67,3,4,Research Director,3,Divorced,16979,17862,7,Y,Yes,16,3,2,80,1,10,3,4,1,3,11,3
43,Yes,Travel_Frequently,1162,Sales,1,2,Life Sciences,1,43,4,Female,44,1,5,Sales Executive,1,Single,12529,2104,8,Y,Yes,23,3,4,80,0,7,2,1,11,6,12,15
19,No,Travel_Rarely,1206,Research & Development,1,3,Life Sciences,1,44,3,Female,69,4,5,Healthcare Representative,1,Married,17645,26830,0,Y,No,17,3,1,80,3,26,1,2,5,12,5,6
37,No,Travel_Rarely,645,Sales,19,3,Life Sciences,1,45,1,Male,38,1,5,Research Scientist,3,Divorced,14382,25955,6,Y,Yes,13,3,3,80,1,28,2,2,3,2,1,0
45,Yes,Non-Travel,212,Research & Development,6,2,Technical Degree,1,46,3,Male,82,3,5,Healthcare Representative,1,Divorced,5025,16269,7,Y,Yes,14,3,2,80,3,7,1,1,12,7,9,15
24,No,Travel_Rarely,524,Research & Development,18,4,Marketing,1,47,4,Male,99,1,5,Research Director,1,Divorced,11458,24985,2,Y,No,16,3,1,80,3,22,6,3,3,10,4,1
25,No,Travel_Rarely,1017,Research & Development,10,4,Marketing,1,48,1,Female,95,2,1,Human Resources,1,Married,14844,25055,3,Y,Yes,11,4,4,80,0,28,3,4,13,15,2,0
52,No,Travel_Frequently,329,Research & Development,28,1,Technical Degree,1,49,1,Female,81,4,2,Human Resources,4,Married,5175,10561,2,Y,No,21,3,1,80,1,15,2,3,15,8,6,13
31,No,Travel_Rarely,1406,Research & Development,11,3,Other,1,50,3,Male,30,1,4,Sales Executive,4,Married,10174,14389,6,Y,No,17,3,4,80,3,34,0,2,3,9,11,4
34,No,Travel_Rarely,1016,Sales,1,3,Medical,1,51,3,Male,59,3,4,Sales Representative,3,Single,4443,21347,8,Y,No,23,3,4,80,3,7,5,2,0,5,11,14
53,No,Travel_Rarely,1410,Research & Development,1,1,Other,1,52,4,Male,30,3,1,Research Director,1,Single,11725,10855,2,Y,No,21,3,1,80,2,7,4,3,12,2,0,9
57,Yes,Travel_Rarely,254,Human Resources,13,2,Technical Degree,1,53,3,Female,68,4,1,Laboratory Technician,4,Divorced,1693,18360,5,Y,Yes,11,3,3,80,0,32,0,1,3,7,4,1
21,Yes,Travel_Rarely,264,Sales,5,3,Marketing,1,54,1,Female,45,1,5,Manager,3,Divorced,9347,19073,7,Y,Yes,21,4,4,80,1,4,6,3,19,5,11,10
19,No,Travel_Rarely,1061,Research & Development,20,2,Marketing,1,55,2,Male,46,3,2,Laboratory Technician,1,Married,12780,16214,5,Y,No,23,3,2,80,3,36,5,3,17,7,2,15
23,No,Non-Travel,1305,Research & Development,1,4,Life Sciences,1,56,2,Male,51,4,4,Human Resources,2,Married,19196,8743,1,Y,No,22,3,4,80,0,16,1,4,5,13,10,3
